,Unnamed: 0,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
206,206,Shot Chart Detail,41600301,519,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,2,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,78,237,1,0,20170517,BOS,CLE
207,207,Shot Chart Detail,41600301,536,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,0,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,4,257,1,1,20170517,BOS,CLE
208,208,Shot Chart Detail,41600301,541,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,0,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-88,200,1,0,20170517,BOS,CLE
209,209,Shot Chart Detail,41600302,378,101112,Channing Frye,1610612739,Cleveland Cavaliers,3,0,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-178,188,1,0,20170519,BOS,CLE
210,210,Shot Chart Detail,41600302,402,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,11,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,9,228,1,0,20170519,BOS,CLE
211,211,Shot Chart Detail,41600302,408,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,10,30,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,7,1,1,20170519,BOS,CLE
212,212,Shot Chart Detail,41600302,422,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,9,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-209,8,1,1,20170519,BOS,CLE
213,213,Shot Chart Detail,41600302,460,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,5,35,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,26,1,1,20170519,BOS,CLE
214,214,Shot Chart Detail,41600302,466,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,4,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,78,198,1,0,20170519,BOS,CLE
215,215,Shot Chart Detail,41600305,426,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,9,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-96,237,1,0,20170525,BOS,CLE
216,216,Shot Chart Detail,41600305,429,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,8,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-135,90,1,0,20170525,BOS,CLE
217,217,Shot Chart Detail,41600305,470,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,4,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,38,247,1,0,20170525,BOS,CLE
218,218,Shot Chart Detail,41600305,489,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,3,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-79,232,1,1,20170525,BOS,CLE
219,219,Shot Chart Detail,41600305,496,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,1,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-81,237,1,1,20170525,BOS,CLE
220,220,Shot Chart Detail,41600305,499,101112,Channing Frye,1610612739,Cleveland Cavaliers,4,1,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-29,247,1,0,20170525,BOS,CLE
255,255,Shot Chart Detail,41600301,124,101114,Deron Williams,1610612739,Cleveland Cavaliers,2,11,12,Missed Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,81,21,1,0,20170517,BOS,CLE
256,256,Shot Chart Detail,41600301,153,101114,Deron Williams,1610612739,Cleveland Cavaliers,2,8,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,145,223,1,0,20170517,BOS,CLE
257,257,Shot Chart Detail,41600301,400,101114,Deron Williams,1610612739,Cleveland Cavaliers,4,11,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-191,8,1,0,20170517,BOS,CLE
258,258,Shot Chart Detail,41600301,528,101114,Deron Williams,1610612739,Cleveland Cavaliers,4,2,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-7,183,1,0,20170517,BOS,CLE
259,259,Shot Chart Detail,41600301,531,101114,Deron Williams,1610612739,Cleveland Cavaliers,4,1,41,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,48,11,1,0,20170517,BOS,CLE
260,260,Shot Chart Detail,41600302,198,101114,Deron Williams,1610612739,Cleveland Cavaliers,2,5,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,169,203,1,0,20170519,BOS,CLE
261,261,Shot Chart Detail,41600302,411,101114,Deron Williams,1610612739,Cleveland Cavaliers,4,9,59,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,8,1,1,20170519,BOS,CLE
262,262,Shot Chart Detail,41600302,440,101114,Deron Williams,1610612739,Cleveland Cavaliers,4,8,6,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-173,87,1,1,20170519,BOS,CLE
263,263,Shot Chart Detail,41600302,447,101114,Deron Williams,1610612739,Cleveland Cavaliers,4,6,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-145,208,1,0,20170519,BOS,CLE
264,264,Shot Chart Detail,41600303,150,101114,Deron Williams,1610612739,Cleveland Cavaliers,2,7,42,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-25,154,1,0,20170521,CLE,BOS
265,265,Shot Chart Detail,41600303,156,101114,Deron Williams,1610612739,Cleveland Cavaliers,2,7,12,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-47,156,1,0,20170521,CLE,BOS
266,266,Shot Chart Detail,41600304,99,101114,Deron Williams,1610612739,Cleveland Cavaliers,1,2,49,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,-6,1,0,20170523,CLE,BOS
267,267,Shot Chart Detail,41600304,395,101114,Deron Williams,1610612739,Cleveland Cavaliers,4,10,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-161,87,1,1,20170523,CLE,BOS
268,268,Shot Chart Detail,41600305,161,101114,Deron Williams,1610612739,Cleveland Cavaliers,2,10,55,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,3,1,1,20170525,BOS,CLE
269,269,Shot Chart Detail,41600305,220,101114,Deron Williams,1610612739,Cleveland Cavaliers,2,7,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,138,218,1,1,20170525,BOS,CLE
270,270,Shot Chart Detail,41600305,235,101114,Deron Williams,1610612739,Cleveland Cavaliers,2,5,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,212,139,1,1,20170525,BOS,CLE
271,271,Shot Chart Detail,41600305,251,101114,Deron Williams,1610612739,Cleveland Cavaliers,2,4,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-106,228,1,0,20170525,BOS,CLE
272,272,Shot Chart Detail,41600305,259,101114,Deron Williams,1610612739,Cleveland Cavaliers,2,3,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,11,1,1,20170525,BOS,CLE
273,273,Shot Chart Detail,41600305,287,101114,Deron Williams,1610612739,Cleveland Cavaliers,2,1,16,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,8,1,1,20170525,BOS,CLE
340,340,Shot Chart Detail,41600301,403,101123,Gerald Green,1610612738,Boston Celtics,4,11,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-91,242,1,0,20170517,BOS,CLE
341,341,Shot Chart Detail,41600301,416,101123,Gerald Green,1610612738,Boston Celtics,4,10,1,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,163,11,1,1,20170517,BOS,CLE
342,342,Shot Chart Detail,41600301,447,101123,Gerald Green,1610612738,Boston Celtics,4,7,41,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,213,144,1,1,20170517,BOS,CLE
343,343,Shot Chart Detail,41600301,480,101123,Gerald Green,1610612738,Boston Celtics,4,5,2,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,230,115,1,1,20170517,BOS,CLE
344,344,Shot Chart Detail,41600301,496,101123,Gerald Green,1610612738,Boston Celtics,4,3,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,9,252,1,0,20170517,BOS,CLE
345,345,Shot Chart Detail,41600301,533,101123,Gerald Green,1610612738,Boston Celtics,4,1,36,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,223,85,1,1,20170517,BOS,CLE
346,346,Shot Chart Detail,41600302,37,101123,Gerald Green,1610612738,Boston Celtics,1,7,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,26,1,1,20170519,BOS,CLE
347,347,Shot Chart Detail,41600302,39,101123,Gerald Green,1610612738,Boston Celtics,1,7,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,0,1,1,20170519,BOS,CLE
348,348,Shot Chart Detail,41600302,364,101123,Gerald Green,1610612738,Boston Celtics,3,1,26,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,8,1,0,20170519,BOS,CLE
349,349,Shot Chart Detail,41600302,406,101123,Gerald Green,1610612738,Boston Celtics,4,10,46,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,145,8,1,0,20170519,BOS,CLE
350,350,Shot Chart Detail,41600303,115,101123,Gerald Green,1610612738,Boston Celtics,2,11,31,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,158,70,1,0,20170521,CLE,BOS
351,351,Shot Chart Detail,41600303,130,101123,Gerald Green,1610612738,Boston Celtics,2,9,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,158,57,1,1,20170521,CLE,BOS
352,352,Shot Chart Detail,41600303,136,101123,Gerald Green,1610612738,Boston Celtics,2,8,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-38,252,1,0,20170521,CLE,BOS
353,353,Shot Chart Detail,41600303,163,101123,Gerald Green,1610612738,Boston Celtics,2,6,13,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,31,1,1,20170521,CLE,BOS
354,354,Shot Chart Detail,41600305,406,101123,Gerald Green,1610612738,Boston Celtics,4,11,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,182,174,1,0,20170525,BOS,CLE
355,355,Shot Chart Detail,41600305,443,101123,Gerald Green,1610612738,Boston Celtics,4,7,39,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-92,141,1,0,20170525,BOS,CLE
356,356,Shot Chart Detail,41600305,450,101123,Gerald Green,1610612738,Boston Celtics,4,7,4,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170525,BOS,CLE
357,357,Shot Chart Detail,41600305,454,101123,Gerald Green,1610612738,Boston Celtics,4,6,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,66,262,1,0,20170525,BOS,CLE
358,358,Shot Chart Detail,41600305,484,101123,Gerald Green,1610612738,Boston Celtics,4,3,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,186,160,1,1,20170525,BOS,CLE
359,359,Shot Chart Detail,41600305,490,101123,Gerald Green,1610612738,Boston Celtics,4,3,3,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-25,247,1,1,20170525,BOS,CLE
360,360,Shot Chart Detail,41600305,503,101123,Gerald Green,1610612738,Boston Celtics,4,0,42,Made Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,227,85,1,1,20170525,BOS,CLE
361,361,Shot Chart Detail,41600305,505,101123,Gerald Green,1610612738,Boston Celtics,4,0,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-166,193,1,0,20170525,BOS,CLE
632,632,Shot Chart Detail,41600302,274,101161,Amir Johnson,1610612738,Boston Celtics,3,10,4,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,21,1,0,20170519,BOS,CLE
633,633,Shot Chart Detail,41600302,327,101161,Amir Johnson,1610612738,Boston Celtics,3,4,19,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,35,31,1,1,20170519,BOS,CLE
634,634,Shot Chart Detail,41600302,360,101161,Amir Johnson,1610612738,Boston Celtics,3,1,41,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-6,1,0,20170519,BOS,CLE
635,635,Shot Chart Detail,41600302,369,101161,Amir Johnson,1610612738,Boston Celtics,3,0,58,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,16,1,0,20170519,BOS,CLE
636,636,Shot Chart Detail,41600303,23,101161,Amir Johnson,1610612738,Boston Celtics,1,8,10,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-1,1,1,20170521,CLE,BOS
988,988,Shot Chart Detail,41600302,452,1626175,Jordan Mickey,1610612738,Boston Celtics,4,6,17,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,31,1,0,20170519,BOS,CLE
989,989,Shot Chart Detail,41600302,461,1626175,Jordan Mickey,1610612738,Boston Celtics,4,5,22,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,8,1,0,20170519,BOS,CLE
990,990,Shot Chart Detail,41600302,500,1626175,Jordan Mickey,1610612738,Boston Celtics,4,1,8,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-1,1,1,20170519,BOS,CLE
991,991,Shot Chart Detail,41600305,445,1626175,Jordan Mickey,1610612738,Boston Celtics,4,7,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-55,178,1,0,20170525,BOS,CLE
992,992,Shot Chart Detail,41600305,462,1626175,Jordan Mickey,1610612738,Boston Celtics,4,5,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,8,1,1,20170525,BOS,CLE
1048,1048,Shot Chart Detail,41600301,173,1626179,Terry Rozier,1610612738,Boston Celtics,2,7,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,186,188,1,0,20170517,BOS,CLE
1049,1049,Shot Chart Detail,41600301,530,1626179,Terry Rozier,1610612738,Boston Celtics,4,2,1,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-150,110,1,1,20170517,BOS,CLE
1050,1050,Shot Chart Detail,41600302,373,1626179,Terry Rozier,1610612738,Boston Celtics,3,0,50,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,158,105,1,0,20170519,BOS,CLE
1051,1051,Shot Chart Detail,41600302,404,1626179,Terry Rozier,1610612738,Boston Celtics,4,11,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-35,244,1,1,20170519,BOS,CLE
