,Unnamed: 0,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
412,412,Shot Chart Detail,41600311,363,101135,David Lee,1610612759,San Antonio Spurs,3,5,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,23,1,0,20170514,GSW,SAS
413,413,Shot Chart Detail,41600312,62,101135,David Lee,1610612759,San Antonio Spurs,1,4,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-115,115,1,0,20170516,GSW,SAS
414,414,Shot Chart Detail,41600312,66,101135,David Lee,1610612759,San Antonio Spurs,1,3,57,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,0,20170516,GSW,SAS
415,415,Shot Chart Detail,41600312,98,101135,David Lee,1610612759,San Antonio Spurs,1,2,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,23,1,1,20170516,GSW,SAS
416,416,Shot Chart Detail,41600313,87,101135,David Lee,1610612759,San Antonio Spurs,1,3,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,0,20170520,SAS,GSW
417,417,Shot Chart Detail,41600313,90,101135,David Lee,1610612759,San Antonio Spurs,1,3,23,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-96,41,1,1,20170520,SAS,GSW
418,418,Shot Chart Detail,41600313,92,101135,David Lee,1610612759,San Antonio Spurs,1,2,57,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-1,1,1,20170520,SAS,GSW
1199,1199,Shot Chart Detail,41600312,513,1627745,Damian Jones,1610612744,Golden State Warriors,4,2,14,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170516,GSW,SAS
1200,1200,Shot Chart Detail,41600312,530,1627745,Damian Jones,1610612744,Golden State Warriors,4,0,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-17,156,1,0,20170516,GSW,SAS
1201,1201,Shot Chart Detail,41600312,533,1627745,Damian Jones,1610612744,Golden State Warriors,4,0,12,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,52,1,0,20170516,GSW,SAS
1202,1202,Shot Chart Detail,41600314,549,1627745,Damian Jones,1610612744,Golden State Warriors,4,1,31,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,86,7,1,1,20170522,SAS,GSW
1264,1264,Shot Chart Detail,41600311,96,1627749,Dejounte Murray,1610612759,San Antonio Spurs,1,2,41,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-140,23,1,0,20170514,GSW,SAS
1265,1265,Shot Chart Detail,41600311,416,1627749,Dejounte Murray,1610612759,San Antonio Spurs,3,1,17,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,23,1,1,20170514,GSW,SAS
1266,1266,Shot Chart Detail,41600311,432,1627749,Dejounte Murray,1610612759,San Antonio Spurs,3,0,2,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,31,1,0,20170514,GSW,SAS
1267,1267,Shot Chart Detail,41600311,492,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,6,22,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,1,20170514,GSW,SAS
1268,1268,Shot Chart Detail,41600311,500,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,4,50,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,61,75,1,1,20170514,GSW,SAS
1269,1269,Shot Chart Detail,41600311,506,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,4,17,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-53,110,1,0,20170514,GSW,SAS
1270,1270,Shot Chart Detail,41600312,95,1627749,Dejounte Murray,1610612759,San Antonio Spurs,1,2,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,102,95,1,0,20170516,GSW,SAS
1271,1271,Shot Chart Detail,41600312,111,1627749,Dejounte Murray,1610612759,San Antonio Spurs,1,1,21,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-20,31,1,0,20170516,GSW,SAS
1272,1272,Shot Chart Detail,41600312,222,1627749,Dejounte Murray,1610612759,San Antonio Spurs,2,2,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,21,1,0,20170516,GSW,SAS
1273,1273,Shot Chart Detail,41600312,239,1627749,Dejounte Murray,1610612759,San Antonio Spurs,2,0,29,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,24,70,1,0,20170516,GSW,SAS
1274,1274,Shot Chart Detail,41600312,242,1627749,Dejounte Murray,1610612759,San Antonio Spurs,2,0,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-97,126,1,1,20170516,GSW,SAS
1275,1275,Shot Chart Detail,41600312,384,1627749,Dejounte Murray,1610612759,San Antonio Spurs,3,1,35,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-61,51,1,0,20170516,GSW,SAS
1276,1276,Shot Chart Detail,41600312,406,1627749,Dejounte Murray,1610612759,San Antonio Spurs,3,0,19,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-17,46,1,0,20170516,GSW,SAS
1277,1277,Shot Chart Detail,41600312,437,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,10,7,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,64,124,1,0,20170516,GSW,SAS
1278,1278,Shot Chart Detail,41600312,485,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,5,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,145,26,1,0,20170516,GSW,SAS
1279,1279,Shot Chart Detail,41600312,509,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,2,27,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,16,1,1,20170516,GSW,SAS
1280,1280,Shot Chart Detail,41600312,514,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,2,1,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,23,1,1,20170516,GSW,SAS
1281,1281,Shot Chart Detail,41600312,525,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,1,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20170516,GSW,SAS
1282,1282,Shot Chart Detail,41600313,156,1627749,Dejounte Murray,1610612759,San Antonio Spurs,2,9,52,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-6,1,1,20170520,SAS,GSW
1283,1283,Shot Chart Detail,41600313,398,1627749,Dejounte Murray,1610612759,San Antonio Spurs,3,1,28,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20170520,SAS,GSW
1284,1284,Shot Chart Detail,41600313,417,1627749,Dejounte Murray,1610612759,San Antonio Spurs,3,0,5,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-2,31,1,0,20170520,SAS,GSW
1285,1285,Shot Chart Detail,41600313,427,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,11,28,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,7,1,1,20170520,SAS,GSW
1286,1286,Shot Chart Detail,41600313,507,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,4,40,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,101,36,1,0,20170520,SAS,GSW
1287,1287,Shot Chart Detail,41600313,555,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,0,42,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20170520,SAS,GSW
1288,1288,Shot Chart Detail,41600314,126,1627749,Dejounte Murray,1610612759,San Antonio Spurs,1,1,59,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,7,1,0,20170522,SAS,GSW
1289,1289,Shot Chart Detail,41600314,138,1627749,Dejounte Murray,1610612759,San Antonio Spurs,1,0,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,16,1,1,20170522,SAS,GSW
1290,1290,Shot Chart Detail,41600314,154,1627749,Dejounte Murray,1610612759,San Antonio Spurs,2,11,15,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-47,31,1,0,20170522,SAS,GSW
1291,1291,Shot Chart Detail,41600314,216,1627749,Dejounte Murray,1610612759,San Antonio Spurs,2,5,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-7,180,1,0,20170522,SAS,GSW
1292,1292,Shot Chart Detail,41600314,233,1627749,Dejounte Murray,1610612759,San Antonio Spurs,2,4,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,11,1,0,20170522,SAS,GSW
1293,1293,Shot Chart Detail,41600314,251,1627749,Dejounte Murray,1610612759,San Antonio Spurs,2,2,49,Made Shot,Driving Bank shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,16,1,1,20170522,SAS,GSW
