,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
3202,Shot Chart Detail,21600006,130,101123,Gerald Green,1610612738,Boston Celtics,2,11,19,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-2,136,1,1,20161026,BOS,BKN
3203,Shot Chart Detail,21600006,166,101123,Gerald Green,1610612738,Boston Celtics,2,7,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,227,100,1,1,20161026,BOS,BKN
3204,Shot Chart Detail,21600006,215,101123,Gerald Green,1610612738,Boston Celtics,2,4,4,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-97,95,1,1,20161026,BOS,BKN
3205,Shot Chart Detail,21600006,441,101123,Gerald Green,1610612738,Boston Celtics,4,6,27,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-63,21,1,1,20161026,BOS,BKN
3206,Shot Chart Detail,21600006,481,101123,Gerald Green,1610612738,Boston Celtics,4,3,51,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-58,61,1,0,20161026,BOS,BKN
3207,Shot Chart Detail,21600006,483,101123,Gerald Green,1610612738,Boston Celtics,4,3,47,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,23,1,0,20161026,BOS,BKN
3208,Shot Chart Detail,21600006,495,101123,Gerald Green,1610612738,Boston Celtics,4,2,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-227,62,1,0,20161026,BOS,BKN
3209,Shot Chart Detail,21600015,192,101123,Gerald Green,1610612738,Boston Celtics,2,6,36,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,43,80,1,1,20161027,CHI,BOS
3210,Shot Chart Detail,21600015,244,101123,Gerald Green,1610612738,Boston Celtics,2,1,54,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,-1,1,0,20161027,CHI,BOS
3211,Shot Chart Detail,21600015,413,101123,Gerald Green,1610612738,Boston Celtics,3,0,32,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-25,193,1,0,20161027,CHI,BOS
3212,Shot Chart Detail,21600015,571,101123,Gerald Green,1610612738,Boston Celtics,4,0,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-168,183,1,0,20161027,CHI,BOS
3213,Shot Chart Detail,21600027,50,101123,Gerald Green,1610612738,Boston Celtics,1,5,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,1,20161029,CHA,BOS
3214,Shot Chart Detail,21600027,74,101123,Gerald Green,1610612738,Boston Celtics,1,3,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,92,229,1,0,20161029,CHA,BOS
3215,Shot Chart Detail,21600027,118,101123,Gerald Green,1610612738,Boston Celtics,2,11,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,177,21,1,0,20161029,CHA,BOS
3216,Shot Chart Detail,21600027,410,101123,Gerald Green,1610612738,Boston Celtics,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-150,223,1,0,20161029,CHA,BOS
3217,Shot Chart Detail,21600061,360,101123,Gerald Green,1610612738,Boston Celtics,3,2,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,218,121,1,0,20161102,BOS,CHI
3218,Shot Chart Detail,21600061,479,101123,Gerald Green,1610612738,Boston Celtics,4,4,11,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,13,1,0,20161102,BOS,CHI
3219,Shot Chart Detail,21600061,481,101123,Gerald Green,1610612738,Boston Celtics,4,4,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,2,1,1,20161102,BOS,CHI
