,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
198573,Shot Chart Detail,21600906,188,2440,Matt Barnes,1610612744,Golden State Warriors,2,7,51,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,11,1,1,20170302,CHI,GSW
198574,Shot Chart Detail,21600928,44,2440,Matt Barnes,1610612744,Golden State Warriors,1,7,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,202,129,1,0,20170305,NYK,GSW
198575,Shot Chart Detail,21600928,304,2440,Matt Barnes,1610612744,Golden State Warriors,3,11,23,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,-24,1,0,20170305,NYK,GSW
198576,Shot Chart Detail,21600928,317,2440,Matt Barnes,1610612744,Golden State Warriors,3,10,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-225,90,1,1,20170305,NYK,GSW
198577,Shot Chart Detail,21600937,92,2440,Matt Barnes,1610612744,Golden State Warriors,1,3,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-158,183,1,1,20170306,ATL,GSW
198578,Shot Chart Detail,21600937,123,2440,Matt Barnes,1610612744,Golden State Warriors,1,2,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,25,252,1,0,20170306,ATL,GSW
198579,Shot Chart Detail,21600937,242,2440,Matt Barnes,1610612744,Golden State Warriors,2,5,19,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-45,183,1,0,20170306,ATL,GSW
198580,Shot Chart Detail,21600937,436,2440,Matt Barnes,1610612744,Golden State Warriors,3,0,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,37,242,1,0,20170306,ATL,GSW
198581,Shot Chart Detail,21600937,518,2440,Matt Barnes,1610612744,Golden State Warriors,4,5,4,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,13,1,0,20170306,ATL,GSW
198582,Shot Chart Detail,21600959,87,2440,Matt Barnes,1610612744,Golden State Warriors,1,2,36,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,0,20170308,GSW,BOS
198583,Shot Chart Detail,21600959,328,2440,Matt Barnes,1610612744,Golden State Warriors,3,2,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-160,213,1,0,20170308,GSW,BOS
198584,Shot Chart Detail,21600959,354,2440,Matt Barnes,1610612744,Golden State Warriors,3,1,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-12,257,1,0,20170308,GSW,BOS
198585,Shot Chart Detail,21600968,209,2440,Matt Barnes,1610612744,Golden State Warriors,2,3,2,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20170310,MIN,GSW
198586,Shot Chart Detail,21600968,319,2440,Matt Barnes,1610612744,Golden State Warriors,3,4,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-1,247,1,1,20170310,MIN,GSW
198587,Shot Chart Detail,21600980,10,2440,Matt Barnes,1610612744,Golden State Warriors,1,10,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-19,247,1,1,20170311,SAS,GSW
198588,Shot Chart Detail,21600980,15,2440,Matt Barnes,1610612744,Golden State Warriors,1,9,13,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,8,1,1,20170311,SAS,GSW
198589,Shot Chart Detail,21600980,20,2440,Matt Barnes,1610612744,Golden State Warriors,1,8,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-153,203,1,0,20170311,SAS,GSW
198590,Shot Chart Detail,21600980,59,2440,Matt Barnes,1610612744,Golden State Warriors,1,5,40,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,227,51,1,0,20170311,SAS,GSW
198591,Shot Chart Detail,21600980,94,2440,Matt Barnes,1610612744,Golden State Warriors,1,2,39,Made Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,-11,1,1,20170311,SAS,GSW
198592,Shot Chart Detail,21600980,207,2440,Matt Barnes,1610612744,Golden State Warriors,2,4,14,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,11,1,0,20170311,SAS,GSW
198593,Shot Chart Detail,21600980,244,2440,Matt Barnes,1610612744,Golden State Warriors,2,1,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-135,213,1,0,20170311,SAS,GSW
198594,Shot Chart Detail,21600980,246,2440,Matt Barnes,1610612744,Golden State Warriors,2,1,40,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,9,65,1,0,20170311,SAS,GSW
198595,Shot Chart Detail,21600980,270,2440,Matt Barnes,1610612744,Golden State Warriors,3,11,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-65,170,1,1,20170311,SAS,GSW
198596,Shot Chart Detail,21600980,465,2440,Matt Barnes,1610612744,Golden State Warriors,4,6,39,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,8,1,0,20170311,SAS,GSW
198597,Shot Chart Detail,21600980,471,2440,Matt Barnes,1610612744,Golden State Warriors,4,5,52,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,18,1,0,20170311,SAS,GSW
198598,Shot Chart Detail,21601003,154,2440,Matt Barnes,1610612744,Golden State Warriors,2,10,13,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,0,20170314,GSW,PHI
198599,Shot Chart Detail,21601003,172,2440,Matt Barnes,1610612744,Golden State Warriors,2,9,6,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-151,200,1,1,20170314,GSW,PHI
198600,Shot Chart Detail,21601003,290,2440,Matt Barnes,1610612744,Golden State Warriors,2,1,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-99,239,1,0,20170314,GSW,PHI
198601,Shot Chart Detail,21601003,296,2440,Matt Barnes,1610612744,Golden State Warriors,2,0,55,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,11,1,1,20170314,GSW,PHI
198602,Shot Chart Detail,21601003,546,2440,Matt Barnes,1610612744,Golden State Warriors,4,4,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,161,213,1,0,20170314,GSW,PHI
198603,Shot Chart Detail,21601003,560,2440,Matt Barnes,1610612744,Golden State Warriors,4,2,42,Made Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,7,1,1,20170314,GSW,PHI
198604,Shot Chart Detail,21601003,582,2440,Matt Barnes,1610612744,Golden State Warriors,4,0,4,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20170314,GSW,PHI
198605,Shot Chart Detail,21601019,232,2440,Matt Barnes,1610612744,Golden State Warriors,2,5,54,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,14,1,0,20170316,GSW,ORL
